一级类目,二级类目,三级类目,categoryId,typeId,rFBS_低档,rFBS_中档,rFBS_高档
服装,服装,婴儿尿垫,17031328,93493,12%,14%,18%
服装,服装,服装袖口,200000348,971405351,12%,14%,18%
服装,服装,家居浴袍,41777466,93251,12%,14%,18%
服装,服装,防风上衣,41777472,93067,12%,14%,18%
服装,服装,半拉链外套/防风衣,41777472,970585480,12%,14%,18%
服装,服装,雨衣,41777475,93082,12%,14%,18%
服装,服装,天然羊皮夹克,41777476,93084,12%,14%,18%
服装,服装,外套套装,41777479,93108,12%,14%,18%
服装,服装,夹克,41777480,93137,12%,14%,18%
服装,服装,人造羊皮大衣,41777480,971979781,12%,14%,18%
服装,服装,大衣,41777482,93166,12%,14%,18%
服装,服装,人造毛皮大衣,41777482,971979782,12%,14%,18%
服装,服装,派克大衣,41777483,97010,12%,14%,18%
服装,服装,风衣,41777484,93186,12%,14%,18%
服装,服装,羽绒服,41777487,93205,12%,14%,18%
服装,服装,天然皮草大衣,41777488,93279,12%,14%,18%
服装,服装,连衣裙,41777492,93182,12%,14%,18%
服装,服装,无袖连衣裙,41777492,93211,12%,14%,18%
服装,服装,束腰衫,41777493,93241,12%,14%,18%
服装,服装,沙滩披肩,41777493,970988994,12%,14%,18%
服装,服装,短裙,41777494,93283,12%,14%,18%
服装,服装,衬裙,41777494,971107305,12%,14%,18%
服装,服装,头纱,41777495,970658743,12%,14%,18%
服装,服装,高领衫,41777497,93072,12%,14%,18%
服装,服装,开襟衫,41777499,93092,12%,14%,18%
服装,服装,毛线衣,41777502,93079,12%,14%,18%
服装,服装,毛衣,41777502,93214,12%,14%,18%
服装,服装,防磨衣,41777503,115949936,12%,14%,18%
服装,服装,长袖T恤,41777503,93148,12%,14%,18%
服装,服装,运动衫,41777505,93216,12%,14%,18%
服装,服装,卫衣,41777505,93232,12%,14%,18%
服装,服装,连帽衫,41777505,93253,12%,14%,18%
服装,服装,奥运外套,41777505,97009,12%,14%,18%
服装,服装,裤子,41777508,93055,12%,14%,18%
服装,服装,浴裙,41777508,971061641,12%,14%,18%
服装,服装,打底裤,41777510,93144,12%,14%,18%
服装,服装,牛仔裤,41777511,93080,12%,14%,18%
服装,服装,小坎肩,41777512,93051,12%,14%,18%
服装,服装,马甲,41777513,93086,12%,14%,18%
服装,服装,西装上衣,41777515,93175,12%,14%,18%
服装,服装,马裤,41777517,93053,12%,14%,18%
服装,服装,单车裤,41777518,785353054,12%,14%,18%
服装,服装,短裤,41777518,93272,12%,14%,18%
服装,服装,卡通连体睡衣,41777519,504866259,12%,14%,18%
服装,服装,连体裤,41777519,93103,12%,14%,18%
服装,服装,背带裤,41777519,970590515,12%,14%,18%
服装,服装,经典西服,41777521,970707326,12%,14%,18%
服装,服装,服装套装 ,41777522,93112,12%,14%,18%
服装,服装,运动服,41777522,93221,12%,14%,18%
服装,服装,排球服,41777522,970696767,12%,14%,18%
服装,服装,篮球运动服,41777522,971011003,12%,14%,18%
服装,服装,足球制服,41777522,971079131,12%,14%,18%
服装,服装,短衫,41777523,93048,12%,14%,18%
服装,服装,衬衫,41777525,93209,12%,14%,18%
服装,服装,背心,41777528,93150,12%,14%,18%
服装,服装,Polo衫,41777530,93194,12%,14%,18%
服装,服装,T恤,41777530,93244,12%,14%,18%
服装,服装,无袖背心,41777533,93236,12%,14%,18%
服装,服装,洗礼服装,41777558,93133,12%,14%,18%
服装,服装,睡衣,41777566,93176,12%,14%,18%
服装,服装,睡裙,41777566,970960142,12%,14%,18%
服装,服装,出院套件,41777699,93109,12%,14%,18%
服装,服装,新生儿包膜 ,41777703,93118,12%,14%,18%
服装,服装,婴儿睡袋,41777712,970785888,12%,14%,18%
服装,服装,绝缘连体套装,43430486,93105,12%,14%,18%
服装,服装,保暖背带裤,43430486,93199,12%,14%,18%
服装,服装,压缩长袜,43430569,30802055,12%,14%,18%
服装,服装,压缩绑腿,43430569,93114,12%,14%,18%
服装,服装,压缩袜,43430569,94185,12%,14%,18%
服装,服装,压缩长筒袜,43430570,93115,12%,14%,18%
服装,服装,斗篷,43434562,97151,12%,14%,18%
服装,服装,棒球服,43443728,97183,12%,14%,18%
服装,服装,海边防晒大纱巾,44286097,93168,12%,14%,18%
服装,服装,学校围裙,55647611,608042980,12%,14%,18%
服装,服装,压缩紧身衣,70983441,115951186,12%,14%,18%
服装,服装,嘉年华服装,88577818,96729,12%,14%,18%
服装,服装,人偶服装,88577818,970943350,12%,14%,18%
服装,服装,可拆卸衣领,99190146,970996947,12%,14%,18%
服装,情趣服装和配饰,性虐服装,17031121,96507,12%,14%,18%
服装,情趣服装和配饰,角色扮演服装,200001480,93125,12%,14%,18%
服装,情趣服装和配饰,Go-Go舞蹈裙,41777581,93183,12%,14%,18%
服装,情趣服装和配饰,情趣内衣,41777581,93281,12%,14%,18%
服装,情趣服装和配饰,情趣胸贴,43443733,93206,12%,14%,18%
服装,情趣服装和配饰,情趣皮革内衣,43443733,970877574,12%,14%,18%
服装,内衣,连体紧身衣,41777524,93049,12%,14%,18%
服装,内衣,内衣背心,41777532,97501,12%,14%,18%
服装,内衣,文胸配件,41777541,970669865,12%,14%,18%
服装,内衣,胸罩,41777542,93065,12%,14%,18%
服装,内衣,连裤袜,41777546,93100,12%,14%,18%
服装,内衣,内衣下装套装,41777548,93107,12%,14%,18%
服装,内衣,紧身胸衣,41777555,970948371,12%,14%,18%
服装,内衣,收腰荷叶边下摆上衣,41777555,971151880,12%,14%,18%
服装,内衣,产妇支持带,41777555,99523,12%,14%,18%
服装,内衣,连体衬裙,41777565,93102,12%,14%,18%
服装,内衣,睡袍,41777565,93170,12%,14%,18%
服装,内衣,泳衣/泳装,41777574,93179,12%,14%,18%
服装,内衣,内裤,41777574,93238,12%,14%,18%
服装,内衣,内裤套装,41777574,970617577,12%,14%,18%
服装,内衣,长筒袜,41777575,93256,12%,14%,18%
服装,内衣,男衬裤,41777583,93091,12%,14%,18%
服装,内衣,保暖裤,41777584,93224,12%,14%,18%
服装,内衣,保暖内衣套装,41777584,93225,12%,14%,18%
服装,内衣,保暖短裤,41777584,93229,12%,14%,18%
服装,内衣,保暖长袖,41777584,970675143,12%,14%,18%
服装,内衣,保暖连体服,41777584,97197,12%,14%,18%
服装,内衣,双面德绒打底衫,41777584,98443,12%,14%,18%
服装,内衣,丝袜带,41777588,93203,12%,14%,18%
服装,内衣,绑腿套,41777695,93075,12%,14%,18%
服装,内衣,高尔夫球裤,41777700,93077,12%,14%,18%
服装,内衣,袜子,41777700,93157,12%,14%,18%
服装,内衣,船袜,41777700,93190,12%,14%,18%
服装,内衣,包脚布,41777700,970662328,12%,14%,18%
服装,内衣,细袜圈,41777706,93189,12%,14%,18%
服装,内衣,宽袜圈,41777706,970630836,12%,14%,18%
服装,内衣,修正型内衣,43436588,93120,12%,14%,18%
服装,内衣,游泳衣胸罩,43436590,59227236,12%,14%,18%
服装,内衣,泳衣,43436590,93134,12%,14%,18%
服装,婴儿内衣,婴儿泳衣,200001581,972076125,12%,14%,18%
服装,婴儿内衣,婴儿运动保暖内衣,200001582,972076126,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖连体服,200001582,972076127,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖套装,200001582,972076128,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖背心,200001582,972076130,12%,14%,18%
服装,婴儿内衣,婴幼儿保暖短裤,200001582,972076133,12%,14%,18%
服装,婴儿内衣,婴幼儿连袜裤,200001583,972076134,12%,14%,18%
服装,婴儿内衣,婴幼儿内裤,200001585,972076137,12%,14%,18%
服装,婴儿内衣,婴幼儿内衣套装,200001586,972076140,12%,14%,18%
服装,婴儿内衣,婴幼儿袜子,200001587,972076141,12%,14%,18%
服装,婴儿内衣,婴幼儿内衣背心,200001588,972076144,12%,14%,18%
服装,婴儿内衣,婴幼儿三角哈衣,200001589,972076145,12%,14%,18%
